audio_path,transcripts,tag
segments_16k/KcsE_ETwLPo_00049210_00049560.wav,hãy mau nghĩ cách gì đó để tụi mình có thể vượt qua chuyện này đi nhanh lên,Yes
segments_16k/KcsE_ETwLPo_00049608_00049820.wav,đó là điều mà chuyên gia nên làm đó,Yes
segments_16k/KcsE_ETwLPo_00061432_00061796.wav,nếu mà lắc trà lúa mạch lên thì nhìn nó cũng giống với bia mà có đúng không,Yes
segments_16k/KcsE_ETwLPo_00079264_00079512.wav,cậu lập tức trả lại đồ cho shizuka nhanh lên,Yes
segments_16k/KcsE_ETwLPo_00092936_00093136.wav,thì cậu sẽ bay được lên trời luôn đó,Yes
segments_16k/KcsE_ETwLPo_00132436_00132626.wav,có chuyện không hay nữa rồi,Yes
segments_16k/VmskDKBm9no_00036064_00036282.wav,thì nó sẽ nghe theo mọi mệnh lệnh của cậu,Yes
segments_16k/VmskDKBm9no_00063376_00063608.wav,xém chút nữa là bị chukupa tấn công rồi sao,Yes
segments_16k/VmskDKBm9no_00065322_00065474.wav,điều này không thể xảy ra được đâu,Yes
segments_16k/VmskDKBm9no_00070582_00070824.wav,chukupa đã sổ cậu ở đâu vậy nobita,No
segments_16k/VmskDKBm9no_00076534_00076736.wav,hãy dùng bảo bối này để đi tìm chukenpa,Yes
segments_16k/VmskDKBm9no_00078562_00078784.wav,tới đây thì không còn mùi của chukenpa nữa,Yes
segments_16k/VmskDKBm9no_00079574_00079746.wav,à bây giờ trời đã tối,Yes
segments_16k/VmskDKBm9no_00081120_00081310.wav,chúng ta mau về nhà đi nobita,Yes
segments_16k/VmskDKBm9no_00202582_00203980.wav,mình nghĩ ra rồi búi tóc kết giao bạn bè có một câu mà người ta thường nói một người bình thường thông qua bảy người bạn thì chắc chắn có thể quen được bất cứ người nào trên thế gian này mình vẫn chưa hiểu lắm vậy mình hỏi cậu một câu,No
segments_16k/VmskDKBm9no_00203980_00204334.wav,cậu có chắc chắn là giữa cậu và tổng thống mỹ không có quen biết với nhau không,Yes
segments_16k/VmskDKBm9no_00204508_00204867.wav,nhưng biết đâu được ba của cậu lại có một người quen nào đó đang sống ở bên Mỹ,Yes
segments_16k/VmskDKBm9no_00204867_00205136.wav,người quen đó lại sống cùng người thân cũng ở bên Mỹ,Yes
segments_16k/VmskDKBm9no_00205406_00205682.wav,người sếp đó chính là một người làm ở bộ ngoại giao,Yes
segments_16k/VmskDKBm9no_00205682_00206030.wav,và cuối cùng cậu thực sự có quen biết với tổng thống đó rồi còn gì nữa,Yes
segments_16k/VmskDKBm9no_00206362_00206682.wav,theo mình biết thường phải thông qua ít nhất là bảy người bạn,Yes
segments_16k/VmskDKBm9no_00207621_00207923.wav,hay là người ở tây tạng cậu đều có thể quen biết hết luôn á,Yes
segments_16k/VmskDKBm9no_00211980_00212119.wav,cậu cứ làm theo nó là được,Yes
segments_16k/VmskDKBm9no_00212119_00212486.wav,búi tóc này tìm hiểu đối tượng quen biết và vạch sẵn lộ trình cho mình luôn,Yes
segments_16k/VmskDKBm9no_00227019_00227356.wav,à trên lý thuyết bảo bối của mình không có chuyện tìm sai đối tượng đâu,Yes
segments_16k/VmskDKBm9no_00234446_00234594.wav,còn mình là  Doraemon,Yes
segments_16k/VmskDKBm9no_00275966_00276114.wav,thì cũng có thể tìm thấy bảo vật hết,Yes
segments_16k/VmskDKBm9no_00276940_00277036.wav,để mình đeo cho,Yes
segments_16k/VmskDKBm9no_00278842_00279002.wav,chỉ mới bắt đầu mà được như vậy,Yes
segments_16k/VmskDKBm9no_00279168_00279310.wav,dẫn nó tới chỗ Jaian đi,Yes
segments_16k/VmskDKBm9no_00283768_00283972.wav,hay tụi mình tìm thử chỗ khác coi,Yes
segments_16k/VmskDKBm9no_00284528_00284750.wav,mình cá là chắc chắn lần này là bảo vật thật rồi,Yes
segments_16k/VmskDKBm9no_00316778_00317080.wav,mọi thứ đã hoàn hảo như lúc trước rồi,Yes
segments_16k/VmskDKBm9no_00317232_00317350.wav,chúng ta về nhà thôi,Yes
segments_16k/VmskDKBm9no_00328168_00328278.wav,cậu phải tự làm đi chứ,Yes
segments_16k/VmskDKBm9no_00328376_00328538.wav,sao lúc nào cũng nhờ vả mình hết vậy,Yes
segments_16k/VmskDKBm9no_00331798_00331968.wav,nên cậu cứ để im để mình trả,Yes
segments_16k/VmskDKBm9no_00334528_00334734.wav,em bé của nobita,Yes
segments_16k/VmskDKBm9no_00369876_00370022.wav,là giao cái này cho mình,Yes
segments_16k/VmskDKBm9no_00377124_00377264.wav,giờ chúng xuất hiện ở đây thì chắc,Yes
segments_16k/VmskDKBm9no_00384050_00384404.wav,sinh vật này có năng lực gì chúng ta vẫn còn chưa biết đó,Yes
segments_16k/VmskDKBm9no_00385248_00385386.wav,cảm ơn tâm linh,No
segments_16k/VmskDKBm9no_00385598_00385872.wav,bất cứ giá nào chúng ta cũng phải lập tức phá hủy cái máy,Yes
segments_16k/id5j8rSlEaM_00036922_00037074.wav,vậy thì tốt quá,Yes
segments_16k/id5j8rSlEaM_00037754_00037926.wav,vì bạn đã hứa là phải dậy sớm rồi,Yes
segments_16k/id5j8rSlEaM_00038428_00038648.wav,cuối cùng bạn cũng quyết tâm rồi sao,Yes
segments_16k/id5j8rSlEaM_00038970_00039168.wav,ngày mai mình sẽ cùng dậy sớm với bạn,Yes
segments_16k/id5j8rSlEaM_00041652_00041870.wav,thế nào mình cũng không cho bạn mượn người thay thế đâu,Yes
segments_16k/id5j8rSlEaM_00044420_00044692.wav,và mình cũng đã bí mật đem thêm một chiếc giày nữa nè,Yes
segments_16k/id5j8rSlEaM_00058517_00058790.wav,hiện giờ một cái bánh rán chắc chỉ có mười yên thôi,No
segments_16k/id5j8rSlEaM_00077160_00077332.wav,bánh rán mà mười yên một cái,Yes
segments_16k/id5j8rSlEaM_00097678_00098134.wav,bạn đang làm gì vậy mà đang làm một việc hết rất quan trọng đừng có ồn,No
segments_16k/id5j8rSlEaM_00098942_00099200.wav,mình đang nhận từ sóng điện trên má nhà đó,Yes
segments_16k/id5j8rSlEaM_00100364_00100638.wav,để mình gọi tên lửa do thám tự động về,Yes
segments_16k/id5j8rSlEaM_00101396_00101782.wav,bằng cách đi tới những nơi mà ta không thể trực tiếp tới nơi rồi chụp hình lại,Yes
segments_16k/id5j8rSlEaM_00102052_00102314.wav,thì đương nhiên là tên lửa này có thể điều tra được ngôi nhà đó,Yes
segments_16k/id5j8rSlEaM_00105476_00105692.wav,nếu để họ nhìn thấy thì không tốt lắm đâu,Yes
segments_16k/KQE5WCW3vXo_00029450_00029586.wav,cứ chờ xem sau,Yes
segments_16k/KQE5WCW3vXo_00035156_00035390.wav,bạn cứ ngồi ăn ồn ào sao mình học bài được chứ,Yes
segments_16k/KQE5WCW3vXo_00040636_00040878.wav,thấy chưa mình nói rồi mà,Yes
segments_16k/KQE5WCW3vXo_00041250_00041470.wav,bạn vẫn không hiểu sao Nobita,Yes
segments_16k/KQE5WCW3vXo_00075218_00075344.wav,tốt rồi đúng không,Yes
segments_16k/KQE5WCW3vXo_00082212_00082440.wav,thì bảo bối của mình mà trong tay nobita,Yes
segments_16k/KQE5WCW3vXo_00103309_00103478.wav,mình chắc chắn bạn không thể,Yes
segments_16k/KQE5WCW3vXo_00106804_00106966.wav,sau lưng bạn có con ma đang đứng,Yes
segments_16k/KQE5WCW3vXo_00108240_00108478.wav,mình đã nói trước là mình thử nói dối rồi mà,Yes
segments_16k/KQE5WCW3vXo_00111464_00111728.wav,đáng vậy mình còn rất đẹp trai nữa chứ,Yes
segments_16k/KQE5WCW3vXo_00111996_00112320.wav,nếu mà bạn trang điểm cho trở thành người đàn ông tuyệt vời luôn đó,No
segments_16k/KQE5WCW3vXo_00112546_00112676.wav,hát thôi mình đi nha,No
segments_16k/KQE5WCW3vXo_00116548_00116738.wav,mình trở thành một người đàn ông tuyệt vời,Yes
segments_16k/KQE5WCW3vXo_00117482_00117730.wav,nếu như mình đẹp trai vô cùng như vậy thì,Yes
segments_16k/KQE5WCW3vXo_00117783_00117870.wav,đúng rồi,Yes
segments_16k/KQE5WCW3vXo_00128072_00128238.wav,cá tháng tư thật tuyệt vời,Yes
segments_16k/KGKVENK9VnI_00030032_00030242.wav,mình thấy chú của cậu nói rất là đúng,Yes
segments_16k/KGKVENK9VnI_00049408_00049648.wav,là con cá đang dẫy dụa khi nó biết sắp có động đất,Yes
segments_16k/KGKVENK9VnI_00052790_00052990.wav,cậu ấy đang ngày càng mất bình tĩnh kìa nobita,Yes
segments_16k/KGKVENK9VnI_00056000_00056136.wav,trước hết cậu phải bình tĩnh đi,Yes
segments_16k/KGKVENK9VnI_00056722_00056891.wav,không có vấn đề gì hết nhưng mà,Yes
segments_16k/KGKVENK9VnI_00063144_00063412.wav,chắc là bây giờ Jaian đang thấy rất thoải mái,Yes
segments_16k/7x1wGZSbd4M_00029824_00030174.wav,sao lại kỳ lạ vậy ta rõ ràng đường bán không bị mắc kẹt,Yes
segments_16k/7x1wGZSbd4M_00033790_00034364.wav,các cậu lần này nhất định sẽ trôi tới đây hay là vậy cậu cầm theo cái máy phát này đi để cậu đi tới đâu mình cũng,Yes
segments_16k/7x1wGZSbd4M_00043104_00043898.wav,thôi xíu chútnữa là được rồi đừng buồn chúng ta không thể bỏ cuộc như vậy được được chúng ta sẽ lắp ván trượt ở những nơi đoàn tàu của Shizuka,Yes
segments_16k/7x1wGZSbd4M_00046110_00046808.wav,mà đoàn tàu sẽ đi ngang qua những đâu vậy Doraemon để tránh rủi ro thì chúng ta phải đi đến nơi có ít người qua lại,Yes
segments_16k/7x1wGZSbd4M_00055170_00057538.wav,một lần nữa trời ơi ván trượt mau tới chỗ của Shizuka đi khoan đã lại có chuyện gì nữa dậy lúc thả mì đi cậu còn phải đưa căn ướt và các loại gia vị cho cậu ấy nữa chứ quan trọng nhất chính là nước chấm mà trời ơi để coi coi shizuka đang ở đâu ta,No
segments_16k/7x1wGZSbd4M_00064932_00065232.wav,lần này nhất định phải cho shizuka nhận được mì có nghe chưa,Yes
segments_16k/7x1wGZSbd4M_00068276_00068492.wav,đã đến lúc cậu tới nhà để chờ rồi đó Nobita,Yes
segments_16k/7x1wGZSbd4M_00081324_00081586.wav,nếu cậu muốn có siêu năng lực để bảo vệ công lý,Yes
segments_16k/7x1wGZSbd4M_00083972_00084268.wav,cậu có thể dùng nó phát triển ba loại siêu năng lực để làm anh hùng,Yes
segments_16k/7x1wGZSbd4M_00084984_00085248.wav,vấn đề quan trọng ở đây là để trở nên toàn vẹn,Yes
segments_16k/7x1wGZSbd4M_00085436_00085588.wav,và kéo dài trong vòng ba năm,Yes
segments_16k/7x1wGZSbd4M_00094296_00094444.wav,thật là tuyệt vời,Yes
segments_16k/7x1wGZSbd4M_00095308_00095510.wav,mình đã trở thành nhà ngoại cảm rồi nha,Yes
segments_16k/7x1wGZSbd4M_00096258_00096734.wav,năng lực này có khả năng dịch chuyển một đồ vật hoặc bản thân từ nơi này đến một nơi khác ngay lập tức,Yes
segments_16k/7x1wGZSbd4M_00100116_00100324.wav,cậu đúng là đồ vô trách nhiệm,Yes
segments_16k/7x1wGZSbd4M_00100324_00100440.wav,đi tìm về cho mình,Yes
segments_16k/7x1wGZSbd4M_00100560_00100654.wav,nếu cậu tìm không ra,Yes
segments_16k/7x1wGZSbd4M_00114583_00114833.wav,mình đã nói là cậu phải luyện tập tới ba năm lận mà,Yes
segments_16k/7x1wGZSbd4M_00118188_00118332.wav,không con đâu có nói mẹ,Yes
segments_16k/HDKUL_IhAsc_00008158_00010122.wav,quảng đại sao đúng rồi cưỡi mây nè rồi bay lên trên bầu trời nữa rồi chỉ cần cầm cái gậy đập xuống đất một cái là suối nước nóng phun lên sau đó chỉ cần bỏ lá cây vào trong hồ thì lập tức lá cây biến thành cá tuyệt vời quá nếu như có phép thần thông quảng đại như vậy thì mình cũng muốn được làm tiên,Yes
segments_16k/HDKUL_IhAsc_00010782_00012810.wav,chết rồi tự nhiên mình quên mất sao lấy cái này ra làm gì cái này là bảo bối để trở thành có phải không phải đâu cái này chỉ là mô phỏng không phải là trở thành tên mô phỏng cũng được mà cho mình mượn đi cho mượn được mau đi làm bài tập đi chỉ cần mình trở thành tiên có phép rồi thì bài tập có là gì nữa đâu nếu muốn có phép tiên thì còn phải tu hành vô cùng cực khổ luôn chỉ cần có phép tiên cực cỡ mấy mình cũng chịu,No
segments_16k/XZOL5H6FeTo_00027095_00027322.wav,xuyên qua trái đất khiến cho chúng ta rơi tự do,Yes
segments_16k/XZOL5H6FeTo_00030480_00030818.wav,theo bản đồ thì chỗ đối diện với pen si chỉ có tỉnh nô ki ,No
segments_16k/XZOL5H6FeTo_00070050_00070338.wav,lúc phơi đồ mẹ phát hiện mất mấy chiếc vớ mẹ đang giận lắm,Yes
segments_16k/XZOL5H6FeTo_00077598_00077888.wav,vì chúng là một cặp găng tay nên có thể tìm được nhau,Yes
segments_16k/XZOL5H6FeTo_00081188_00081514.wav,có người nào đó đã nhặt được cái găng tay của cậu và băng qua chỗ nào,Yes
segments_16k/XZOL5H6FeTo_00087416_00087630.wav,con cháu đã lượm được cái găng tay của cậu,Yes
segments_16k/XZOL5H6FeTo_00129640_00130378.wav,em ấy quý trọng các cậu ấy như vậy là mình cảm thấy rất yên tâm Nobita doraemon cảm ơn hai cậu nhiều ,Yes
segments_16k/XZOL5H6FeTo_00136688_00136894.wav,tụi mình dùng dây thần để lấy nó đi,Yes
segments_16k/XZOL5H6FeTo_00138492_00138748.wav,hãy mang quả cầu trên mái nhà xuống nha,Yes
segments_16k/XZOL5H6FeTo_00142600_00142790.wav,vì nó đã làm xong việc rồi mà,Yes
segments_16k/XZOL5H6FeTo_00143096_00143358.wav,chỉ tiếng sáu này mới điều khiển được dây thần đó thôi,No
segments_16k/XZOL5H6FeTo_00162708_00162980.wav,nếu cô ngừng thổi thì dây thần cũng sẽ dừng lại theo đó,Yes
segments_16k/XZOL5H6FeTo_00163752_00164026.wav,có lẽ là giữa đường dây thần đã thả rơi cậu ấy xuống đất,Yes
segments_16k/XZOL5H6FeTo_00181772_00182006.wav,tụi mình cũng đang định rủ Jaian chơi chung nè,Yes
segments_16k/XZOL5H6FeTo_00197476_00197738.wav,thì ra mấy cậu ấy đã thổi giai điệu gói mang đi,No
segments_16k/XZOL5H6FeTo_00209121_00209332.wav,mà không biết Jaian đang ở đâu nữa,Yes
segments_16k/XZOL5H6FeTo_00209438_00209566.wav,cậu ấy đây rồi,Yes
segments_16k/XZOL5H6FeTo_00246321_00248336.wav,tiêu rồi không ổn rồi à có cách rồi chiếc vòng xuyên thấu ,No
segments_16k/XZOL5H6FeTo_00251886_00252182.wav,đổi miếng dán lại như vậy thì Nobita sẽ là anh hai,Yes
segments_16k/Cl4oH6l9YDA_00001828_00002800.wav,cậu đang làm gì vậy à mình đang bảo trì cỗ mấy thời gian đó mà thỉnh thoảng mình vẫn hay lấy nó ra để sửa sang một chút á vậy hả để mình giúp một tay,Yes
segments_16k/Cl4oH6l9YDA_00015532_00015696.wav,làm ơn hãy bình tĩnh lại đi nào,Yes
segments_16k/Cl4oH6l9YDA_00016874_00017092.wav,tôi không phải là chồn đâu à nha,Yes
segments_16k/Cl4oH6l9YDA_00057429_00057664.wav,bác cháu mình cùng cố gắng nha,Yes
segments_16k/Cl4oH6l9YDA_00072698_00072910.wav,tơ nhện bị kéo dài ra rồi,No
segments_16k/Cl4oH6l9YDA_00084284_00084500.wav,mình không phải là chồn,Yes
segments_16k/Cl4oH6l9YDA_00092082_00092198.wav,cũng đang đợi chúng ta,Yes
segments_16k/Cl4oH6l9YDA_00109594_00109822.wav,giờ trả lại cho mình bút chì máy tính đi,Yes
segments_16k/Cl4oH6l9YDA_00127874_00128130.wav,chỉ là cây bút chì bình thường được chỉnh lại cho giống thôi,Yes
segments_16k/8-kmMBiuBvg_00029330_00029516.wav,cứ để đó cho mình lo,Yes
segments_16k/8-kmMBiuBvg_00032972_00033164.wav,xòe đôi cánh,No
segments_16k/8-kmMBiuBvg_00040240_00040416.wav,shizuka đúng là một thiên tài,Yes
segments_16k/8-kmMBiuBvg_00047080_00047338.wav,kể từ giờ chúng ta không còn sợ nữa ,Yes
segments_16k/8-kmMBiuBvg_00054878_00055028.wav,tất nhiên là được rồi,Yes
segments_16k/8-kmMBiuBvg_00073460_00073864.wav,bảo bối này không chỉ giúp cậu thay đổi các chỉ số về sức khỏe mà còn ngoại hình,Yes
segments_16k/8-kmMBiuBvg_00074068_00074358.wav,P có nghĩa là power là chỉ số của sức khỏe,Yes
segments_16k/8-kmMBiuBvg_00074616_00075010.wav,cuối cùng là IQ thể hiện cho chỉ số thông minh của cá nhân,Yes
segments_16k/8-kmMBiuBvg_00075010_00075338.wav,chỉ cần có bảo bối này còn có thể thay đổi bản thân lúc nào cũng được,Yes
segments_16k/8-kmMBiuBvg_00075646_00076006.wav,cậu không thể thay đổi cả ba tính năng này trong cùng một lúc được đâu,Yes
segments_16k/8-kmMBiuBvg_00076110_00076414.wav,khi cậu kéo một cái lên thì hai cái còn lại sẽ tụt xuống,Yes
segments_16k/8-kmMBiuBvg_00085402_00085584.wav,cao lên đẹp trai thiệt chứ,Yes
segments_16k/8-kmMBiuBvg_00094316_00094468.wav,mai đi vô nhà cho tao nhanh,Yes
segments_16k/8-kmMBiuBvg_00097500_00097652.wav,hèn chi thấy cậu lạ quá,No
segments_16k/8-kmMBiuBvg_00097652_00097930.wav,hay là bây giờ chúng ta trao đổi từ từ liên lạc,No
segments_16k/8-kmMBiuBvg_00099594_00099888.wav,bán hàng gì mà cứ thấy cái bản mặt đó có chút gì quen quen,No
segments_16k/8-kmMBiuBvg_00147462_00147576.wav,mình về rồi đây,Yes
segments_16k/8-kmMBiuBvg_00147706_00147860.wav,mình đi chơi nha,Yes
segments_16k/8-kmMBiuBvg_00149416_00149654.wav,cậu nhớ phải kiểm tra lại bảo bối trong túi đó,Yes
segments_16k/8-kmMBiuBvg_00159960_00160138.wav,mình sẽ làm cho họ tâm phục khẩu phục,Yes
segments_16k/8-kmMBiuBvg_00179368_00179528.wav,hãy trở lại bình thường đi ha,Yes
segments_16k/8-kmMBiuBvg_00179674_00179828.wav,còn cậu sẽ làNobita,Yes
segments_16k/8-kmMBiuBvg_00183538_00183810.wav,sao shizuka lại dễ thương tới như vậy,Yes
segments_16k/8-kmMBiuBvg_00192516_00192812.wav,hành lễ với đội trưởng nobita,Yes
segments_16k/8-kmMBiuBvg_00194238_00194496.wav,dù cậu đi đâu thì cũng sẽ có phân cấp bậc hết,Yes
segments_16k/8-kmMBiuBvg_00194496_00194704.wav,ở công ty thì sẽ có giám đốc,Yes
segments_16k/8-kmMBiuBvg_00197830_00198164.wav,thì tất cả mọi người đều phải phục tùng mệnh lệnh của cậu hết á ,Yes
segments_16k/8-kmMBiuBvg_00199774_00200056.wav,nó được mô phỏng dựa theo các cấp bậc của quân đội,Yes
segments_16k/8-kmMBiuBvg_00200432_00200692.wav,nó được phân cấp bậc từ cao nhất cho đến thấp nhất,Yes
segments_16k/8-kmMBiuBvg_00260502_00260617.wav,à Nobita đây rồi,Yes
segments_16k/8-kmMBiuBvg_00262988_00263180.wav,cậu đừng có bi quan có được không,Yes
segments_16k/8-kmMBiuBvg_00264228_00264458.wav,suy nghĩ kiểu này có hơi tiêu cực đó nha,Yes
segments_16k/8-kmMBiuBvg_00266666_00266832.wav,chỉ cần đeo sợi dây này lên đầu,Yes
segments_16k/8-kmMBiuBvg_00266832_00267026.wav,thì cậu không thể làm người xấu được đâu,Yes
segments_16k/8-kmMBiuBvg_00275472_00275766.wav,cho nên cậu đừng nghĩ tới chuyện làm người xấu nữa nha,Yes
segments_16k/8-kmMBiuBvg_00299570_00299826.wav,sau đó là mắc nợ ngập đầu khi ở tuổi ba mươi,Yes
segments_16k/8-kmMBiuBvg_00301170_00301438.wav,nhưng cậu không thể nào tin vô mấy lời đó được,Yes
segments_16k/8-kmMBiuBvg_00302296_00302702.wav,cậu không thể đoán được tương lai của một người chỉ bằng các nếp nhăn trong lòng bàn tay đâu,Yes
segments_16k/8-kmMBiuBvg_00307442_00307746.wav,sau đó nhìn trong này coi cậu thích bộ chỉ tay nào,Yes
segments_16k/8-kmMBiuBvg_00308350_00308608.wav,nhưng bảo bối của mình có phải là đồ xem bói đâu,Yes
segments_16k/8-kmMBiuBvg_00308608_00308888.wav,bảo bố này được tạo ra hoàn toàn dựa trên khoa học,Yes
segments_16k/8-kmMBiuBvg_00310214_00310598.wav,đây chính là chỉ tay có thể đem lại may mắn về đường tiền bạc,Yes
segments_16k/8-kmMBiuBvg_00316410_00316650.wav,nhớ kiểm tra cẩn thận trước khi vẽ lên tay,Yes
segments_16k/8-kmMBiuBvg_00333180_00333478.wav,mình phải tới tương lai để lấy hũ kem khác về cho cậu ngay bây giờ,Yes
segments_16k/8-kmMBiuBvg_00352394_00352586.wav,lần sau em đừng chơi với kéo nha,Yes
segments_16k/8-kmMBiuBvg_00352676_00352888.wav,các bạn cũng phải nhớ cẩn thận,Yes
segments_16k/8-kmMBiuBvg_00353910_00354184.wav,rồi đưa tay đây mình sẽ vẽ chỉ tay may mắn hơn cho,Yes
segments_16k/SzPFm5pgun0_00072454_00072696.wav,cậu cũng có thể giúp đỡ ai đó đang gặp khó khăn,No
segments_16k/SzPFm5pgun0_00078104_00078456.wav,thì tới lúc đó mình sẽ cho cậu ấy mượn bảo bối nào đó phù hợp,Yes
segments_16k/SzPFm5pgun0_00079900_00080100.wav,cậu dùng chong chóng tre có được không,Yes
segments_16k/SzPFm5pgun0_00081100_00081348.wav,loa thôi miên vật vô tri vô giác,Yes
segments_16k/SzPFm5pgun0_00085474_00085746.wav,mình nghĩ nếu như cậu không luyện tập thì không được đâu,Yes
segments_16k/SzPFm5pgun0_00091898_00092018.wav,tạm biệt các cậu nha,Yes
segments_16k/SzPFm5pgun0_00099166_00099390.wav,ước mơ trở thành hiện thực thiệt là tốt quá,Yes
segments_16k/SzPFm5pgun0_00120440_00120738.wav,có lẽ cậu ấy đang đi thực hiện ước mơ của cậu ấy,Yes
segments_16k/SzPFm5pgun0_00125550_00125740.wav,ông vua trần như nhộng,Yes
segments_16k/SzPFm5pgun0_00130511_00130788.wav,cứ mỗi lần cậu có chuyện gì thì lập tức đi mình để nhờ vả,Yes
segments_16k/SzPFm5pgun0_00130788_00131076.wav,dù có đánh thua thì cũng cố gắng dùng sức để mà chống trả chứ,Yes
segments_16k/SzPFm5pgun0_00135252_00135560.wav,người ngốc mà mặc bộ giáp này vô thì cũng không có tác dụng gì hết,Yes
segments_16k/SzPFm5pgun0_00136608_00136802.wav,vàng lấp lánh nhìn ngầu lắm có phải không,Yes
segments_16k/SzPFm5pgun0_00136976_00137192.wav,nhìn thấy cậu ưng nó như vậy mình vui quá chừng,Yes
segments_16k/SzPFm5pgun0_00139038_00139266.wav,nó sẽ bảo vệ cậu trước bất kỳ cú đấm nào,Yes
segments_16k/SzPFm5pgun0_00159908_00160122.wav,thì cậu sẽ bị đánh như bao cát luôn cho coi,Yes
segments_16k/SzPFm5pgun0_00188040_00188260.wav,cô bé mang giày đỏ,Yes
segments_16k/SzPFm5pgun0_00191748_00191948.wav,nãy giờ chỉ có một mình mình dọn phòng thôi đó,Yes
segments_16k/xkszJ5Q_F6A_00011348_00012716.wav,hơn cách của cậu nè chờ mình một chút nha nha bánh thuần chủng momotarou chỉ cần chọn bom ba rô để mình cho lũ chim ăn thử nè,No
segments_16k/xkszJ5Q_F6A_00061870_00062066.wav,cậu mau trả bảo bối lại cho,Yes
segments_16k/xkszJ5Q_F6A_00073028_00073298.wav,thì anh đã nói mua cái khác đền cho em rồi mà,Yes
segments_16k/xkszJ5Q_F6A_00075220_00075414.wav,cậu cứ đi mà nói chuyện với doraemi đi,Yes
segments_16k/xkszJ5Q_F6A_00093324_00093472.wav,đang rất được mong đợi,Yes
segments_16k/xkszJ5Q_F6A_00093718_00093996.wav,giờ xem trò đang dây bằng tay vô cùng khéo léo của mình,Yes
segments_16k/xkszJ5Q_F6A_00105028_00105330.wav,nếu đã như vậy tụi mình sẽ thử coi ai nổi tiếng hơn,Yes
segments_16k/xkszJ5Q_F6A_00110570_00110822.wav,lần này họ đã vượt mặt chúng ta rồi kìa,Yes
segments_16k/xkszJ5Q_F6A_00123435_00123624.wav,tụi mình không được để Suneo cắt tóc,No
segments_16k/xkszJ5Q_F6A_00130182_00130602.wav,không biết là chú ấy chơi pizza gì nữa hả,Yes
segments_16k/xkszJ5Q_F6A_00135638_00135866.wav,giờ mà cho mình ăn thêm năm cái nữa cũng được,No
segments_16k/xkszJ5Q_F6A_00145180_00145536.wav,cậu chỉ cần lắng nghe đầu bếp người máy ở đây hướng dẫn vậy là được,Yes
segments_16k/xkszJ5Q_F6A_00147818_00148016.wav,chỉ cần lắng nghe đầu bếp robot hướng dẫn,Yes
segments_16k/xkszJ5Q_F6A_00148016_00148302.wav,thì cũng có thể nấu ra món ngon như nhà hàng năm sao,Yes
segments_16k/xkszJ5Q_F6A_00153232_00153468.wav,tại sao nó lại hoang tàn tới mức như vậy,Yes
segments_16k/xkszJ5Q_F6A_00188618_00188790.wav,bây giờ bắc bán cầu đều không có ai,Yes
segments_16k/xkszJ5Q_F6A_00190402_00190542.wav,đã tìm thấy đối tượng,Yes
