filename,duration,whisper_transcripts,distance,transcripts,audio_path
4EIG2QCbioE_00155962_00156122,1.6, Hay là tụi mình chơi đuổi bắt đi,0.4814905058699757,hay là tụi mình chơi đuổi bác,segments_16k/4EIG2QCbioE_00155962_00156122.wav
4EIG2QCbioE_00160240_00160432,1.92, Vậy là cậu thắng rồi đánh Nobita,0.3914362641463796,à vậy là cậu thắng rồi đó nó bi,segments_16k/4EIG2QCbioE_00160240_00160432.wav
4EIG2QCbioE_00184166_00184522,3.56, Chuyến du lịch định mệnh của Nobita,0.46626199148170105,chuyện vô lịch định mà của no bi,segments_16k/4EIG2QCbioE_00184166_00184522.wav
4EIG2QCbioE_00209817_00210042,2.24, Giải trừ thuốc nâng cấp đồ vật,0.41388371112629163,giải trừ thuốc nâng cấp đô,segments_16k/4EIG2QCbioE_00209817_00210042.wav
4EIG2QCbioE_00337800_00337956,1.56, Để lần này mình pha tay,0.43623408968634464,để lần này mình ra tay,segments_16k/4EIG2QCbioE_00337800_00337956.wav
4EIG2QCbioE_00384652_00385044,3.92, Bây giờ chúng ta hãy đi theo dòng chảy của con sông để đi thẳng ra ngoài biển nha,0.34565987294032363,bây giờ chúng ta hãy đi theo dòng chảy của con sông để đi thẳng ra ngoài biển nha,segments_16k/4EIG2QCbioE_00384652_00385044.wav
4EIG2QCbioE_00385684_00385904,2.2, Yên tâm đây chỉ là một đoạn dốc thôi,0.46014184880934783,yên tâm đây chỉ là một đoạn gốc thôi,segments_16k/4EIG2QCbioE_00385684_00385904.wav
4EIG2QCbioE_00396472_00396690,2.18, Cho nên chúng ta phải đi xuống một đoạn khá dài,0.406771753346111,cho nên chúng ta phải đi xuống một đoạn khá dài,segments_16k/4EIG2QCbioE_00396472_00396690.wav
4EIG2QCbioE_00426093_00426462,3.68, Theo bản đồ cho biết thì chúng ta đã gần tới đảo Jojo Han rồi đó,0.4048749844669015,theo bản đồ cho biết thì chúng ta đã gần tới đảo oral rồi đó,segments_16k/4EIG2QCbioE_00426093_00426462.wav
TEKqNo9wyfI_00024226_00025777,15.5199375, Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,0.47965286420552533,coi gì vậy cậu phải tới bệnh viện kiểm tra đi được tám mươi thì hơi quá cậu chỉ cần bảy mươi hay sáu mươi gì cũng được hết được lắm cậu đã hứa rồi cậu cũng đã hứa rồi cậu bị làm sao,segments_16k/TEKqNo9wyfI_00024226_00025777.wav
TEKqNo9wyfI_00057891_00058067,1.76, Có con chuột nó bòi vào trong bụng mình,0.4556845942069846,cái con chuột nó bay vào trong bụng,segments_16k/TEKqNo9wyfI_00057891_00058067.wav
TEKqNo9wyfI_00074338_00074478,1.4, Mình có bị cái gì đâu,0.4415654450487212,mình có bị cái gì đâu,segments_16k/TEKqNo9wyfI_00074338_00074478.wav
TEKqNo9wyfI_00075374_00075672,2.98, Hơn là mini Dora đã biến nhỏ chui vào bồng anh để kiểm tra,0.476438217955244,hơn là mi ni đưa ra để biến nhỏ chui vào bông anh để kiểm tra,segments_16k/TEKqNo9wyfI_00075374_00075672.wav
1sKZTWxjT-8_00108202_00108402,2.0," Mình nói giỡn đó, để mình một chút",0.39596967613703293,mình nói vợ đó đợi mình một chút,segments_16k/1sKZTWxjT-8_00108202_00108402.wav
IIol9G5Xvzs_00046996_00047150,1.54, Để lần này mình ra tay,0.4416759231470494,để lần này mình ra tay,segments_16k/IIol9G5Xvzs_00046996_00047150.wav
IIol9G5Xvzs_00074734_00075000,2.66, Bắn vào bông đẹp thiệt! Thật là dễ thương!,0.4174463579411378,à bạn vào bông đẹp thật thật là dễ,segments_16k/IIol9G5Xvzs_00074734_00075000.wav
IIol9G5Xvzs_00079040_00079354,3.14, Cuộc thi tranh cấp vô địch thế giới đúng là quá hấp dẫn!,0.4073924316976741,cuộc thi tranh cúp vô địch thế giới đúng là a hấp,segments_16k/IIol9G5Xvzs_00079040_00079354.wav
IIol9G5Xvzs_00080756_00080930,1.74, Mình có cái này có thể giúp được,0.3976573078405281,mình có cái này có thể giúp được,segments_16k/IIol9G5Xvzs_00080756_00080930.wav
IIol9G5Xvzs_00081770_00081934,1.64, Nó bị tà cậu đeo vô đây,0.4716067675893603,nó bi ta cậu đeo vô đi,segments_16k/IIol9G5Xvzs_00081770_00081934.wav
IIol9G5Xvzs_00089928_00090180,2.52, Từ từ mà trải nghiệm nha,0.4325358611265429,từ từ mà trải nghiệm ra,segments_16k/IIol9G5Xvzs_00089928_00090180.wav
IIol9G5Xvzs_00161552_00163028,14.76, Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,0.3645443598643442,đây chính là đúng rồi đây là cảnh thu được từ con tàu mà mình mới đem thả trên sông nói cách khác căn phòng này bây giờ giống như buồng lái để điều khiển con tàu vậy đó đến khi xong chảy vào biển lớn thì chúng ta sẽ biết rồi tụi mình sẽ đến đảo vô y,segments_16k/IIol9G5Xvzs_00161552_00163028.wav
IIol9G5Xvzs_00163028_00163636,6.08, Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,0.3932993254710252,trên xăng là như vậy thì pha mi ta hãy hạ kênh quan sát tăng tâm bên đạo vô chữ,segments_16k/IIol9G5Xvzs_00163028_00163636.wav
IIol9G5Xvzs_00169362_00169496,1.34," Nhanh lên, thuyền phó",0.4445339173331597,nhanh lên huyền,segments_16k/IIol9G5Xvzs_00169362_00169496.wav
IIol9G5Xvzs_00180050_00180324,2.74, Hành động xả rác như vậy đúng là không thể chấp nhận được,0.42903776492241846,hành động xả rác như vậy đúng là không thể chấp nhận,segments_16k/IIol9G5Xvzs_00180050_00180324.wav
IIol9G5Xvzs_00188016_00188290,2.74, Mình vẫn còn rất nhiều bất ngờ nữa nè,0.42814424892953773,mình vẫn còn rất nhiều bất ngờ nữa nè,segments_16k/IIol9G5Xvzs_00188016_00188290.wav
IIol9G5Xvzs_00256656_00256848,1.92, Sao thay đổi như chồng chồng vậy chứ,0.48687563893078045,làm sao thay đổi như chồng chồng vậy chứ,segments_16k/IIol9G5Xvzs_00256656_00256848.wav
IIol9G5Xvzs_00269484_00269718,2.34, Thì không bao giờ tìm được công việc phù hợp đâu,0.410247873525378,thì không bao giờ tìm được công việc phù hợp đâu,segments_16k/IIol9G5Xvzs_00269484_00269718.wav
IIol9G5Xvzs_00294710_00294964,2.54, Bây giờ cùng đến đảo vô cho hành thôi,0.4708211117964347,bây giờ cùng lãnh đạo vô cho ha,segments_16k/IIol9G5Xvzs_00294710_00294964.wav
IIol9G5Xvzs_00296602_00296784,1.82, Đến khi sông chảy vào biển lớn,0.47494082876359117,đến khi xong chảy vào biển lớn,segments_16k/IIol9G5Xvzs_00296602_00296784.wav
IIol9G5Xvzs_00314158_00314436,2.78, Hành động sả rác như vậy đúng là không thể chấp nhận được,0.39244069570863865,hành động xả rác như vậy đúng là không thể chấp nhận,segments_16k/IIol9G5Xvzs_00314158_00314436.wav
IIol9G5Xvzs_00321118_00321314,1.96, Đính kèm trên tàu ngầm để phát ra hình ảnh,0.4277351141440815,đính kèm trên tàu ngầm để phát ra hình ảnh,segments_16k/IIol9G5Xvzs_00321118_00321314.wav
IIol9G5Xvzs_00329536_00329666,1.3, Giữa mấy tảng đá đó đó,0.4768631777392536,giữa mấy tảng đá đó đó,segments_16k/IIol9G5Xvzs_00329536_00329666.wav
IIol9G5Xvzs_00357640_00357868,2.28, Nhưng mà trong trường bây giờ đâu có ai đâu Nói Bi ta,0.4258686919666384,nhưng mà trong trường bây giờ đâu có ai đâu đâu bị ta,segments_16k/IIol9G5Xvzs_00357640_00357868.wav
IIol9G5Xvzs_00390770_00390962,1.92, Sao thay đổi như trông trống vậy chứ,0.47307601875240435,sao thay đổi như chồng chồng vậy chứ,segments_16k/IIol9G5Xvzs_00390770_00390962.wav
IIol9G5Xvzs_00403596_00403832,2.36, Thì không bao giờ tìm được công việc phù hợp đâu,0.41238543141851486,thì không bao giờ tìm được công việc phù hợp đâu,segments_16k/IIol9G5Xvzs_00403596_00403832.wav
IIol9G5Xvzs_00416988_00417218,2.3000625, Trước chăm chóng khe nè Nabita,0.45473557333344017,được chong chóng tre na na bi,segments_16k/IIol9G5Xvzs_00416988_00417218.wav
zIauL7ZZ3C4_00000424_00000624,2.0, Con voi và người bác,0.4686584514570109,con voi và người,segments_16k/zIauL7ZZ3C4_00000424_00000624.wav
zIauL7ZZ3C4_00038888_00039058,1.7, Muốn ăn bao nhiêu thì cứ việc ăn đi,0.46806847219242553,thì muốn ăn bao nhiêu thì cứ việc ăn đi,segments_16k/zIauL7ZZ3C4_00038888_00039058.wav
zIauL7ZZ3C4_00045640_00045826,1.86, Chú làm vậy là quá đáng lắm,0.4561819357021127,chưa làm vậy là quá đáng lắm,segments_16k/zIauL7ZZ3C4_00045640_00045826.wav
zIauL7ZZ3C4_00064512_00064594,0.82, Đúng đó đúng đó,0.465291148092191,đông đá đông đá,segments_16k/zIauL7ZZ3C4_00064512_00064594.wav
zIauL7ZZ3C4_00077328_00077466,1.38, Thì căn nhà này sẽ sập đó,0.46396262682308065,thì căn nhà này sẽ sập đó,segments_16k/zIauL7ZZ3C4_00077328_00077466.wav
zIauL7ZZ3C4_00125666_00125911,2.4600625, Vậy là Hana-o đã bình yên qua tới Ấn Độ sao,0.3467538054394333,vậy là ha na đã bình yên qua tới ấn độ,segments_16k/zIauL7ZZ3C4_00125666_00125911.wav
aZ_ujjtnstw_00007928_00008094,1.66, Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,0.4653921286051259,ủa cậu về rồi đó hả,segments_16k/aZ_ujjtnstw_00007928_00008094.wav
aZ_ujjtnstw_00039002_00039190,1.88, Sao mấy chuyện riêng tôi của người khác là không,0.4797531522249947,rồi nói chuyện riêng tư của người khác là,segments_16k/aZ_ujjtnstw_00039002_00039190.wav
aZ_ujjtnstw_00066970_00067184,2.14, Nãy giờ cậu chưa làm xong bài tập hả,0.4282302470220415,à nãy giờ còn chưa làm xong bài tập hả,segments_16k/aZ_ujjtnstw_00066970_00067184.wav
aZ_ujjtnstw_00073758_00073966,2.08, Hay là cậu dùng cái này thử đi Nopita,0.41441655028674396,hay là có dùng cái này thử đi nô bi ta,segments_16k/aZ_ujjtnstw_00073758_00073966.wav
aZ_ujjtnstw_00074444_00074712,2.68, Đầu tiên chúng ta bấm nút Star để khởi động,0.38624292979202135,đầu tiên chúng ta bấm nút sta để khởi đầu,segments_16k/aZ_ujjtnstw_00074444_00074712.wav
aZ_ujjtnstw_00081250_00081384,1.34, Trả lại cho mình nữa bị ta,0.3797300601954611,trả lại cho mình a bê,segments_16k/aZ_ujjtnstw_00081250_00081384.wav
aZ_ujjtnstw_00081606_00081880,2.74, Nhưng mà mày thập về dọn về phòng tiền sau đây,0.3837173458768458,nhưng mà bài tập về phòng thì sao,segments_16k/aZ_ujjtnstw_00081606_00081880.wav
aZ_ujjtnstw_00120506_00120742,2.36, Từ nãy tới giờ cậu vẫn chưa làm xong bài tập hả?,0.41607898536081767,từ nãy tới giờ cậu vẫn chưa làm xong bài tập hả,segments_16k/aZ_ujjtnstw_00120506_00120742.wav
aZ_ujjtnstw_00123740_00123874,1.34, Trả lại cho mình Nobita.,0.4201514353410115,trả lại cho mình đâu biết,segments_16k/aZ_ujjtnstw_00123740_00123874.wav
aZ_ujjtnstw_00124100_00124358,2.58, Nhưng mà còn bài tập dạy dẫn dẹp phòng thì sao đây?,0.4273428680869473,nhưng mà còn bài tập và dẫn về phòng thì sao,segments_16k/aZ_ujjtnstw_00124100_00124358.wav
q7ybfGhf-cs_00025546_00025992,4.46, Hãy subscribe cho kênh La School Để không bỏ lỡ những video hấp dẫn,0.48551745838858495,tụi mình phải tạo tin tưởng của linh người và,segments_16k/q7ybfGhf-cs_00025546_00025992.wav
q7ybfGhf-cs_00077514_00077788,2.74," Tiếc dời, vậy chỉ còn thiếu 225 yên nữa",0.44199316318636567,tuyệt vời vậy chỉ còn thiếu hai trăm hai mươi lăm nữa,segments_16k/q7ybfGhf-cs_00077514_00077788.wav
q7ybfGhf-cs_00103244_00103416,1.72, Mau trả lại hai trăm yên cho mình đi,0.4866479230217693,câu trả lời hai trăm cho mình đi,segments_16k/q7ybfGhf-cs_00103244_00103416.wav
q7ybfGhf-cs_00105670_00105904,2.34, Thông qua mấy bán hàng tự động này nè,0.4447077554097921,thông qua máy bán hàng tự động này nè,segments_16k/q7ybfGhf-cs_00105670_00105904.wav
0NGqm8I6dj4_00025754_00026032,2.78, Thấy chưa rất hay có đúng không,0.4306459484745816,thấy chưa rất hay có đúng không,segments_16k/0NGqm8I6dj4_00025754_00026032.wav
0NGqm8I6dj4_00035734_00035864,1.3, Cứ để cho mình,0.46080100503287197,à mà cứ để cho mình,segments_16k/0NGqm8I6dj4_00035734_00035864.wav
0NGqm8I6dj4_00040090_00040200,1.1, Thôi đi Nobita,0.49325049942110355,thôi đi đâu bị ta,segments_16k/0NGqm8I6dj4_00040090_00040200.wav
0NGqm8I6dj4_00091642_00092032,3.9, Nếu cởi bộ trang phục con lười đó ra thì cậu có thể ăn ngay và luôn á,0.41984805820053495,ăn nó cởi bộ trang phục con lồi đó ra thì còn có thể ăn ngay và luôn,segments_16k/0NGqm8I6dj4_00091642_00092032.wav
0NGqm8I6dj4_00095298_00095520,2.22, Cậu không chán chịu sống lười biến hay sao,0.45079214234597215,cậu không chán kiểu sống lười biếng hay sao,segments_16k/0NGqm8I6dj4_00095298_00095520.wav
0NGqm8I6dj4_00107540_00107730,1.9, Sao con ấy vẫn còn ở đó vậy,0.4964005614767808,sao cô ấy vẫn còn ở đó dài,segments_16k/0NGqm8I6dj4_00107540_00107730.wav
0NGqm8I6dj4_00107814_00108011,1.9800625, Đã qua giờ trưa rồi đó Nobita,0.39492619769795123,đã qua giờ trưa rồi đó đâu bị ta,segments_16k/0NGqm8I6dj4_00107814_00108011.wav
0NGqm8I6dj4_00136416_00136610,1.94, Cậu phải bị lao một trận cho nhớ đời,0.41925904882338116,còn phải bị la một trận cho nhớ đời,segments_16k/0NGqm8I6dj4_00136416_00136610.wav
1lV31ymeHH4_00016596_00017908,13.12, Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,0.37553231764195777,chỉ cần đạp lên đầu quá giật là có thể tiêu diệt được nó và được tính điểm không chỉ vậy thôi đâu cái máy này còn làm xuất hiện nhiều bảo bối khác toàn lò xo nè bom đại bác nè nhiều thứ lắm và cậu cũng có thể dùng những thứ này để tấn công quá giật,segments_16k/1lV31ymeHH4_00016596_00017908.wav
1lV31ymeHH4_00035450_00035624,1.74, Mình cũng bị Chai Anh điều khiển mà,0.4837058714445237,chuẩn bị chai anh điều kiện mà,segments_16k/1lV31ymeHH4_00035450_00035624.wav
Dry5XaCNyNo_00014326_00016776,24.5, Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,0.41712525941384115,nhưng biến đâu mất tiêu luôn hạt đậu này có thể dịch chuyển tức thời mọi thứ từ ở bên trong ra bên ngoài đó dịch chuyển tức thời sao để mình giải thích cho nếu mình nhét cục gom vào cái lọ này ha mình không thể lấy nó ra ngoài được đâu không sao không cần lo đây chính là lúc chúng ta sử dụng hạt đậu ác quỷ bị đầy nè ác quỷ,segments_16k/Dry5XaCNyNo_00014326_00016776.wav
Dry5XaCNyNo_00018426_00019810,13.84, Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,0.43092319291469006,không đâu không đâu mình tính lấy nó ném vô người của trang đúng rồi ha vậy sẽ dịch chuyển trai anh ra khỏi ngôi nhà ngay tại lầu lầu thông mình ghê đâu có đâu cũng bình thường thôi mà,segments_16k/Dry5XaCNyNo_00018426_00019810.wav
Dry5XaCNyNo_00020884_00021020,1.36, Đúng là như vậy đó,0.4801958111849255,đúng là như vậy đó,segments_16k/Dry5XaCNyNo_00020884_00021020.wav
Dry5XaCNyNo_00030650_00031132,4.82," Chai anh à, cậu đã đi đâu vậy, sao đang hát mà cậu lại bỏ ra ngoài",0.41339957416632367,em trai anh à cậu đã đi đâu vậy sao đang hát mà cậu lại bỏ ra ngoài,segments_16k/Dry5XaCNyNo_00030650_00031132.wav
Dry5XaCNyNo_00032174_00032790,6.16," Chai anh à, cậu thật sự đúng là một thiên tài, khi hát cậu đã quên hết mọi thứ xung quanh và chỉ tập trung vào bài hát",0.3495688340339784,trai cậu thật sự đúng là một thiên tài khi hát cậu đã quên hết mọi thứ xung quanh và chỉ tập trung vào bài hát,segments_16k/Dry5XaCNyNo_00032174_00032790.wav
Dry5XaCNyNo_00078306_00078482,1.76, Nếu biết ta cậu vừa phải thôi nha,0.44206627827187933,nói với ta con vừa phải thôi,segments_16k/Dry5XaCNyNo_00078306_00078482.wav
Dry5XaCNyNo_00080330_00080438,1.08, Chấp lên,0.4868461347740041,chụp lên,segments_16k/Dry5XaCNyNo_00080330_00080438.wav
Dry5XaCNyNo_00082670_00082878,2.08, Ai cũng có lúc nhầm lẫn mà đúng không,0.4356836124797129,đâu ai cũng có lúc nhầm lẫn mà đúng không,segments_16k/Dry5XaCNyNo_00082670_00082878.wav
Dry5XaCNyNo_00083916_00084228,3.12, Và trong khoảng thời gian đó tụi mình có thể cùng ăn bánh ràng,0.38269156312638514,trong khoảng thời gian đó tụi mình có thể cùng ăn bánh,segments_16k/Dry5XaCNyNo_00083916_00084228.wav
Dry5XaCNyNo_00087614_00088026,4.12, Cái máy này là dùng để chụp lại những chú kim côn trùng và những con vật biết bay,0.4417146089319556,cái máy này là dùng để chụp lại những chú khen côn trùng và những con vật biết bán,segments_16k/Dry5XaCNyNo_00087614_00088026.wav
Dry5XaCNyNo_00088026_00088456,4.3, Cũng như chụp lại những thứ chập trường mà cậu không thể nào bắt kịp bằng bắt thường được,0.40349388568385264,nhau chụp lại những thứ chập chờn mà cậu không thể nào bắt kịp bằng mắt thường được,segments_16k/Dry5XaCNyNo_00088026_00088456.wav
Dry5XaCNyNo_00088456_00088752,2.96, Nó sẽ đóng văn mọi vật giúp bọn nghiên cứu dễ dàng hơn,0.44019884360278205,nó sẽ đóng bằng mọi vật giúp cậu nghiên cứu dễ dàng hơn,segments_16k/Dry5XaCNyNo_00088456_00088752.wav
Dry5XaCNyNo_00088752_00089146,3.94, Bây giờ tụi mình sẽ cùng làm thử động tác dung gậy đánh bóng chày như vầy nè,0.4385931728090926,bây giờ tụi mình sẽ cùng làm thử động tác dung gậy đánh bóng cày như vầy nè,segments_16k/Dry5XaCNyNo_00088752_00089146.wav
Dry5XaCNyNo_00090012_00090332,3.2, Nhờ như vậy mà trái bóng mới có lực để bay xa đó biết không,0.4047629403029251,nhờ như vậy mà trái bóng mới có lực để bay xa đó biết không,segments_16k/Dry5XaCNyNo_00090012_00090332.wav
Dry5XaCNyNo_00116496_00116740,2.44, Chai anh sẽ bị bất động trong một thời gian,0.3714417188636293,trai anh sẽ bị bất động trong một thời gian,segments_16k/Dry5XaCNyNo_00116496_00116740.wav
Dry5XaCNyNo_00118444_00118642,1.9800625, Mình có làm gì được đâu chứ,0.4860641959782766,đừng có làm gì được đâu chứ,segments_16k/Dry5XaCNyNo_00118444_00118642.wav
